GSM,GSE,Label,PubMed ID,Release Date,In Situ Site,Disease,Total Reads,High-Quality Reads,FRiP,Num Peaks,motif_ov_ratio
GSM2948967,GSE87064,iPSC,28472656;29514090;31493975,5/3/17,Induced Pluripotent Stem Cell,,43362361,31950642,0.154,55048,0.8981
GSM2948968,GSE87064,iPSC,28472656;29514090;31493975,5/3/17,Induced Pluripotent Stem Cell,,35599978,21066048,0.058,33343,0.9434
GSM2948969,GSE87064,iPSC,28472656;29514090;31493975,5/3/17,Induced Pluripotent Stem Cell,,32089448,23793929,0.128,49043,0.9093
GSM2948970,GSE87064,iPSC,28472656;29514090;31493975,5/3/17,Induced Pluripotent Stem Cell,,52166559,23132300,0.047,30435,0.9386
GSM2948971,GSE109712,iPSC,29514090,1/28/18,Induced Pluripotent Stem Cell,,28932526,21259906,0.029,18904,0.9271
GSM2948972,GSE109712,iPSC,29514090,1/28/18,Induced Pluripotent Stem Cell,,36268699,25818421,0.099,44466,0.9243
GSM2948973,GSE109712,iPSC,29514090,1/28/18,Induced Pluripotent Stem Cell,,40895547,24811637,0.048,32585,0.945
GSM2948974,GSE109712,iPSC,29514090,1/28/18,Induced Pluripotent Stem Cell,,49276589,36037880,0.143,55724,0.8894
GSM2948975,GSE109712,iPSC,29514090,1/28/18,Induced Pluripotent Stem Cell,,21284361,15830368,0.139,44251,0.9238
GSM2948976,GSE109712,iPSC,29514090,1/28/18,Induced Pluripotent Stem Cell,,28286447,21014902,0.189,53167,0.9076
GSM2948977,GSE109712,iPSC,29514090,1/28/18,Induced Pluripotent Stem Cell,,33815461,17040285,0.134,47954,0.9068
GSM2948978,GSE109712,iPSC,29514090,1/28/18,Induced Pluripotent Stem Cell,,38247129,28351814,0.149,53277,0.9035
GSM2948979,GSE109712,iPSC,29514090,1/28/18,Induced Pluripotent Stem Cell,,44842037,32397630,0.159,56787,0.8975
GSM2948980,GSE109712,iPSC,29514090,1/28/18,Induced Pluripotent Stem Cell,,28161020,20467814,0.251,60918,0.8881
GSM2948981,GSE109712,iPSC,29514090,1/28/18,Induced Pluripotent Stem Cell,,38210506,28763487,0.068,30349,0.9341
GSM2948982,GSE109712,iPSC,29514090,1/28/18,Induced Pluripotent Stem Cell,,30108024,22039710,0.038,22308,0.9544
GSM2948983,GSE109712,iPSC,29514090,1/28/18,Induced Pluripotent Stem Cell,,43572647,31527417,0.132,44569,0.9119
GSM2948984,GSE109712,postnatal_21_rod,29514090,1/28/18,Retina,,66160562,48344325,0.039,23156,0.9513
GSM2948985,GSE109712,postnatal_6_rod,29514090,1/28/18,Retina,,40657645,28671071,0.014,12230,0.9435
GSM2973685,GSE109909,RAG1KO_pro_B_cell,29593713,4/18/18,"Bone Marrow, Spleen",,114441245,44338710,0.156,66581,0.8211
GSM2973687,GSE109909,RAG1KO_pre_B_cell,29593713,4/18/18,"Bone Marrow, Spleen",,5967060,4305964,0.472,44763,0.902
GSM3019280,GSE110950,TSC,31628347,9/25/19,Trophoblast Stem Cell,,21743185,9040749,0.505,71231,0.9011
GSM3027977,GSE98119,CH12,29706548,5/1/18,B Lymphocyte,B-cell Lymphoma,40976533,22042096,0.255,67482,0.8408
GSM3027978,GSE98119,CH12,29706548,5/1/18,B Lymphocyte,B-cell Lymphoma,48582375,31198980,0.066,35993,0.856
GSM3027979,GSE98119,CH12,29706548,5/1/18,B Lymphocyte,B-cell Lymphoma,33902014,22040468,0.132,46865,0.8708
GSM3027980,GSE98119,CH12,29706548,5/1/18,B Lymphocyte,B-cell Lymphoma,46365670,27404489,0.169,58685,0.8579
GSM3027981,GSE98119,activated_B_cell,29706548,5/1/18,Spleen,,32912434,21559899,0.305,78524,0.886
GSM3027982,GSE98119,activated_B_cell,29706548,5/1/18,Spleen,,43698909,26881883,0.352,90848,0.8717
GSM3027983,GSE98119,activated_B_cell,29706548,5/1/18,Spleen,,52871252,32046097,0.322,83992,0.8759
GSM3027984,GSE98119,activated_B_cell,29706548,5/1/18,Spleen,,36130589,24236583,0.184,55893,0.9141
GSM3027985,GSE98119,activated_B_cell,29706548,5/1/18,Spleen,,49524436,32752099,0.243,69554,0.8935
GSM3027986,GSE98119,activated_B_cell,29706548,5/1/18,Spleen,,43974355,27143835,0.254,67816,0.8903
GSM3039567,GSE111772,spleen,,9/1/18,Spleen,,106686938,39437697,0.436,215658,0.7176
GSM3040201,GSE115984,MEF,30604745,11/7/18,Embryonic Fibroblast,,64201546,43439161,0.125,45526,0.9087
GSM3040202,GSE115984,MEF,30604745,11/7/18,Embryonic Fibroblast,,67817676,44978607,0.183,52676,0.8848
GSM3040203,GSE115984,MEF,30604745,11/7/18,Embryonic Fibroblast,,38386258,24718673,0.122,36599,0.9256
GSM3040204,GSE115984,MEF,30604745,11/7/18,Embryonic Fibroblast,,46035092,30199632,0.161,43007,0.8972
GSM3040205,GSE115984,MEF,30604745,11/7/18,Embryonic Fibroblast,,62819236,43201892,0.158,51721,0.9102
GSM3040206,GSE115984,MEF,30604745,11/7/18,Embryonic Fibroblast,,67240442,46625515,0.182,54887,0.9019
GSM3040207,GSE115984,MEF,30604745,11/7/18,Embryonic Fibroblast,,62680782,43356369,0.186,52699,0.9097
GSM3040208,GSE115984,MEF,30604745,11/7/18,Embryonic Fibroblast,,64872478,44047949,0.186,49272,0.8997
GSM3040209,GSE115984,MEF,30604745,11/7/18,Embryonic Fibroblast,,45478280,31057319,0.138,41722,0.9131
GSM3040210,GSE115984,MEF,30604745,11/7/18,Embryonic Fibroblast,,45624046,30955310,0.179,49586,0.9148
GSM3058327,GSE112136,mESC,30996347,4/18/19,Embryonic Stem Cell,,54200868,38007974,0.12,57803,0.9148
GSM3058328,GSE112136,mESC,30996347,4/18/19,Embryonic Stem Cell,,60425597,43631761,0.014,14762,0.9389
GSM3058881,GSE112153,mOSN,30626972,3/29/18,Mature Olfactory Sensory Neurons,,57187032,20069409,0.088,25633,0.9528
GSM3058882,GSE112153,mOSN,30626972,3/29/18,Mature Olfactory Sensory Neurons,,61822260,14432290,0.128,30914,0.9102
GSM3145752,GSE114599,mESC,30948436,3/25/19,Embryonic Stem Cell,,23865184,13153192,0.014,11501,0.9398
GSM3145753,GSE114599,mESC,30948436,3/25/19,Embryonic Stem Cell,,23613950,13196350,0.017,12172,0.9479
GSM3145754,GSE114599,mESC,30948436,3/25/19,Embryonic Stem Cell,,28406863,17023969,0.075,37958,0.9364
GSM3145755,GSE114599,mESC,30948436,3/25/19,Embryonic Stem Cell,,23255760,15406863,0.02,15925,0.9547
GSM3145756,GSE114599,mESC,30948436,3/25/19,Embryonic Stem Cell,,20870080,17613431,0.122,45769,0.9055
GSM3259343,GSE116723,dorsal_dermis,30122476,7/7/18,Dorsal Dermis,,36411578,23844115,0.387,72912,0.7962
GSM3259344,GSE116723,dorsal_dermis,30122476,7/7/18,Dorsal Dermis,,51408306,32705535,0.366,98091,0.768
GSM3259345,GSE116723,dorsal_dermis,30122476,7/7/18,Dorsal Dermis,,40193702,26478540,0.37,86250,0.7914
GSM3259352,GSE116723,ear_dermis,30122476,7/7/18,Ear Dermis,,53220983,30376251,0.407,83216,0.7637
GSM3259353,GSE116723,ear_dermis,30122476,7/7/18,Ear Dermis,,41843178,23576298,0.529,104746,0.7749
GSM3259354,GSE116723,ear_dermis,30122476,7/7/18,Ear Dermis,,45271666,25175938,0.527,108170,0.7663
GSM3271247,GSE117100,MIN6,31848151,12/3/20,"Pancreas, Islets of Langerhans",,49561700,32376120,0.244,52422,0.9127
GSM3327818,GSE118402,TSC,31256989,6/27/19,Trophoblast Stem Cell,,39452940,25460549,0.112,48902,0.9298
GSM3327819,GSE118402,TSC,31256989,6/27/19,Trophoblast Stem Cell,,39803264,25791968,0.055,33062,0.9425
GSM3331487,GSE112136,mESC,30996347,4/18/19,Embryonic Stem Cell,,35381997,25736123,0.075,41718,0.9375
GSM3331488,GSE112136,mESC,30996347,4/18/19,Embryonic Stem Cell,,35361399,25885010,0.076,42588,0.9351
